WINDOW size=1936x1056
ELEMENTS=112
[0] ControlType.Window | name='ذخیره تغییرات' | id='' | en=True | off=False
[29] ControlType.Text | name='علوی' | id='PlaceholderText' | en=True | off=False
[30] ControlType.Text | name='نام خانوادگی را وارد کنید.' | id='ValidationText' | en=True | off=False
[31] ControlType.Text | name='کد ملی *' | id='' | en=True | off=False
[32] ControlType.Custom | name='' | id='NationalCodeInput' | en=True | off=False
[33] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
[34] ControlType.Text | name='۲۴۷۰۵۴۵۲۵۶' | id='PlaceholderText' | en=True | off=False
[35] ControlType.Text | name='کد ملی را وارد کنید.' | id='ValidationText' | en=True | off=False
[36] ControlType.Text | name='نوع دسته بندی' | id='' | en=True | off=False
[37] ControlType.Text | name='دسته بندی اشخاص' | id='' | en=True | off=False
[38] ControlType.Button | name='مشتری' | id='PersonTypeCustomer' | en=True | off=False
[39] ControlType.Text | name='مشتری' | id='' | en=True | off=False
[40] ControlType.Button | name='تامین کننده' | id='PersonTypeSupplier' | en=True | off=False
[41] ControlType.Text | name='تامین کننده' | id='' | en=True | off=False
[42] ControlType.Button | name='هردو' | id='PersonTypeBoth' | en=True | off=False
[43] ControlType.Text | name='هردو' | id='' | en=True | off=False
[44] ControlType.Button | name='پرسنل' | id='PersonTypePersonnel' | en=True | off=False
[45] ControlType.Text | name='پرسنل' | id='' | en=True | off=False
[46] ControlType.Custom | name='' | id='CategorySearch' | en=True | off=False
[47] ControlType.Text | name='یک دسته جستجو کنید...' | id='SelectedText' | en=True | off=False
[48] ControlType.Custom | name='' | id='PersonImagePicker' | en=True | off=False
[49] ControlType.Text | name='برای بارگذاری کلیک کنید' | id='' | en=True | off=False
[50] ControlType.RadioButton | name='تماس و آدرس' | id='TabPricing' | en=True | off=False
[51] ControlType.Text | name='تماس و آدرس' | id='' | en=True | off=False
[52] ControlType.RadioButton | name='حساب های بانکی' | id='TabInventory' | en=True | off=False
[53] ControlType.Text | name='حساب های بانکی' | id='' | en=True | off=False
[54] ControlType.Pane | name='' | id='' | en=True | off=False
[55] ControlType.Text | name='شماره تلفن *' | id='' | en=True | off=False
[56] ControlType.Custom | name='' | id='PhoneInput' | en=True | off=False
[57] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
[58] ControlType.Text | name='۰۷۱' | id='PlaceholderText' | en=True | off=False
[59] ControlType.Text | name='موبایل *' | id='' | en=True | off=False
[60] ControlType.Custom | name='' | id='MobileInput' | en=True | off=False
[61] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
[62] ControlType.Text | name='۰۹۱' | id='PlaceholderText' | en=True | off=False
[63] ControlType.Text | name='ایمیل' | id='' | en=True | off=False
[64] ControlType.Custom | name='' | id='EmailInput' | en=True | off=False
[65] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
[66] ControlType.Text | name='@gmail.com' | id='PlaceholderText' | en=True | off=False
[67] ControlType.Text | name='کد پستی' | id='' | en=True | off=False
[68] ControlType.Custom | name='' | id='' | en=True | off=False
[69] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
[70] ControlType.Text | name='۱۲۳۴۵۶۷۸۹۰' | id='PlaceholderText' | en=True | off=False
[71] ControlType.Text | name='آدرس' | id='' | en=True | off=False
[72] ControlType.Custom | name='' | id='' | en=True | off=False
[73] ControlType.Edit | name='' | id='PART_TextBox' | en=True | off=False
[74] ControlType.Text | name='' | id='PlaceholderText' | en=True | off=False
[75] ControlType.Text | name='استان *' | id='' | en=True | off=False
[76] ControlType.ComboBox | name='' | id='ProvinceCombo' | en=True | off=False
[77] ControlType.Edit | name='' | id='PART_EditableTextBox' | en=True | off=False
[78] ControlType.Text | name='شهرستان *' | id='' | en=True | off=False
[79] ControlType.ComboBox | name='' | id='CityCombo' | en=True | off=False
[80] ControlType.Edit | name='' | id='PART_EditableTextBox' | en=True | off=False
[81] ControlType.Custom | name='' | id='SaveButton' | en=True | off=False
[82] ControlType.Button | name='' | id='' | en=True | off=False
[83] ControlType.Text | name='ذخیره شخص' | id='' | en=True | off=False
[84] ControlType.Button | name='' | id='' | en=True | off=False
[85] ControlType.Text | name='انصراف' | id='' | en=True | off=False
[86] ControlType.Custom | name='' | id='root' | en=True | off=False
[87] ControlType.Button | name='' | id='' | en=True | off=False
[88] ControlType.Text | name='ذخیره موقت' | id='' | en=True | off=False
[89] ControlType.Text | name='شرکت های شما' | id='' | en=True | off=False
[90] ControlType.ComboBox | name='' | id='CompanySelector' | en=True | off=False
[91] ControlType.Edit | name='' | id='PART_EditableTextBox' | en=True | off=False
[92] ControlType.Button | name='' | id='' | en=True | off=False
[93] ControlType.Text | name='خروج از برنامه' | id='' | en=True | off=False
[94] ControlType.Text | name='کاربر شماره یک' | id='' | en=True | off=False
[95] ControlType.Text | name='حسابدار' | id='' | en=True | off=False
[96] ControlType.Custom | name='' | id='Sidebar' | en=True | off=False
[97] ControlType.Text | name='نرم افزار حسابداری تعادل' | id='LogoText' | en=True | off=False
[98] ControlType.Custom | name='' | id='YearSelector' | en=True | off=False
[99] ControlType.Text | name='شعبه ۵۰۰‏ | سال ۱۴۰۳‏' | id='YearText' | en=True | off=False
[100] ControlType.Button | name='' | id='BtnToggleSidebar' | en=True | off=False
[101] ControlType.Pane | name='' | id='' | en=True | off=False
[102] ControlType.Button | name='' | id='BtnDashboard' | en=True | off=False
[103] ControlType.Button | name='کسب و کارها /شعبه ها' | id='' | en=True | off=False
[104] ControlType.Button | name='کسب و کار جدید' | id='' | en=True | off=False
[105] ControlType.Button | name='' | id='BtnProducts' | en=True | off=False
[106] ControlType.Button | name='' | id='BtnPersons' | en=True | off=False
[107] ControlType.Button | name='' | id='BtnBusinessInfo' | en=True | off=False
[108] ControlType.Button | name='' | id='BtnWarehouse' | en=True | off=False
[109] ControlType.Button | name='' | id='BtnBank' | en=True | off=False
[110] ControlType.Button | name='' | id='BtnSales' | en=True | off=False
[111] ControlType.Button | name='' | id='BtnReports' | en=True | off=False
